,city,lat,temp
0,Albuquerque,35.0845,56.01
1,Atlanta,33.749,56.64
2,Baltimore,39.2904,53.96
3,Boston,42.3584,49.5
4,Cancun,21.1743,78.73
5,Charlotte,35.2271,57.2
6,Chicago,41.85,46.08
7,Colorado Springs,38.8339,46.9
8,Dallas,32.7668,76.96
9,Fort Worth,32.7254,76.59
10,Denver,39.7392,50.34
11,Detroit,42.3314,41.99
12,El Paso,31.8001,66.83
13,Guadalajara,20.6667,62.37
14,Houston,29.7633,72.25
15,Houston,29.7633,72.25
16,Kansas City,39.0997,53.89
17,Las Vegas,36.175,68.99
18,Leon,21.1167,64.45
19,Los Angeles,34.0522,63.9
20,Mexico City,19.4285,60.19
21,Miami,25.7743,79.32
22,Minneapolis,44.98,43.03
23,Monterrey,25.6667,73.56
24,Nashville,36.1659,59.38
25,New Orleans,29.9547,67.21
26,New York City,40.7143,56.01
27,New York City,40.7143,56.01
28,Oklahoma City,35.4676,62.58
29,Orlando,28.5383,69.08
30,Philadelphia,39.9523,52.38
31,Phoenix,33.4484,65.86
32,Salt Lake City,40.7608,53.33
33,San Diego,32.7153,63.37
34,San Francisco,37.7749,61.16
35,Seattle,47.6062,57.69
36,St. Louis,38.6273,48.47
37,Tampa,27.9475,71.33
38,Washington DC,38.8951,53.4
