,city,lat,temp
0,Colorado Springs,38.8339,47.53
1,Philadelphia,39.9523,52.66
2,Newark,40.7357,54.64
3,St Louis,38.6273,48.61
4,Dulles,39.0376,50.72
5,San Francisco,37.7749,61.14
6,El Paso,31.8001,67.23
7,Guadalajara,20.6667,60.57
8,Houston,29.7633,72.73
9,Kansas City,39.0997,54.5
10,Las Vegas,36.175,69.44
11,Leon,21.1167,60.26
12,Los Angeles,34.0522,64.02
13,Miami,25.7743,79.63
14,Mexico City,19.4285,61.05
15,Monterrey,25.6667,74.57
16,Minneapolis,44.98,44.17
17,New Orleans,29.9547,67.95
18,Nashville,36.1659,58.53
19,St. Louis,38.6273,48.61
20,Tampa,27.9475,72.27
21,San Diego,32.7153,63.45
22,Salt Lake,40.6255,53.69
23,Oklahoma,35.5501,62.04
24,Orlando,28.5383,69.37
25,Albuquerque,35.0845,58.98
26,Atlanta,33.749,59.07
27,Baltimore,39.2904,52.45
28,Boston,42.3584,49.57
29,Cancun,21.1743,80.06
30,Charlotte,35.2271,57.7
31,Chicago,41.85,46.89
32,Dallas,32.7668,77.83
33,Denver,39.7392,50.68
34,Detroit,42.3314,42.26
35,San Antonio,29.4241,73.72
36,Seattle,47.6062,58.53
